ride_id,customer_query
RIDE712,I need to cancel my ride.
RIDE713,Is the ride on time? I'm in a hurry!
RIDE714,Is it safe to fly in this weather?
RIDE715,I want to schedule a ride for tomorrow.
RIDE716,I need to cancel my ride.
RIDE717,Why is the drone not here yet?
RIDE718,Is it safe to fly in this weather?
RIDE719,Can I get a refund for my last ride?
RIDE720,Can I change my destination?
RIDE721,Is it safe to fly in this weather?
RIDE722,Can I get a refund for my last ride?
RIDE723,Why is the drone not here yet?
RIDE724,I need to cancel my ride.
RIDE725,Is it safe to fly in this weather?
RIDE726,I need to cancel my ride.
RIDE727,Is it safe to fly in this weather?
RIDE728,Is it safe to fly in this weather?
RIDE729,Is it safe to fly in this weather?
RIDE730,Can I change my destination?
RIDE731,Why is the drone not here yet?
RIDE732,Is the ride on time? I'm in a hurry!
RIDE733,Why is the drone not here yet?
RIDE734,I want to schedule a ride for tomorrow.
RIDE735,Is the ride on time? I'm in a hurry!
RIDE736,Can I change my destination?
RIDE737,Is the ride on time? I'm in a hurry!
RIDE738,Can I change my destination?
RIDE739,Can I change my destination?
RIDE740,I need to cancel my ride.
RIDE741,I want to schedule a ride for tomorrow.
RIDE742,I want to schedule a ride for tomorrow.
RIDE743,Can I change my destination?
RIDE744,Can I change my destination?
RIDE745,Is it safe to fly in this weather?
RIDE746,Is it safe to fly in this weather?
RIDE747,Can I change my destination?
RIDE748,Is it safe to fly in this weather?
RIDE749,I need to cancel my ride.
RIDE750,I need to cancel my ride.
RIDE751,Can I change my destination?
RIDE752,Why is the drone not here yet?
RIDE753,Is it safe to fly in this weather?
RIDE754,Can I get a refund for my last ride?
RIDE755,Is the ride on time? I'm in a hurry!
RIDE756,Is it safe to fly in this weather?
RIDE757,I need to cancel my ride.
RIDE758,I need to cancel my ride.
RIDE759,Can I get a refund for my last ride?
RIDE760,Why is the drone not here yet?
RIDE761,Can I change my destination?
RIDE762,Can I get a refund for my last ride?
RIDE763,Can I get a refund for my last ride?
RIDE764,Is the ride on time? I'm in a hurry!
RIDE765,I need to cancel my ride.
RIDE766,Why is the drone not here yet?
RIDE767,Can I get a refund for my last ride?
RIDE768,Why is the drone not here yet?
RIDE769,Can I change my destination?
RIDE770,Is it safe to fly in this weather?
RIDE771,Can I change my destination?
RIDE772,Is the ride on time? I'm in a hurry!
RIDE773,Why is the drone not here yet?
RIDE774,Why is the drone not here yet?
RIDE775,I need to cancel my ride.
RIDE776,Why is the drone not here yet?
RIDE777,Why is the drone not here yet?
RIDE778,Why is the drone not here yet?
RIDE779,Can I change my destination?
RIDE780,Why is the drone not here yet?
RIDE781,I need to cancel my ride.
RIDE782,Is it safe to fly in this weather?
RIDE783,Why is the drone not here yet?
RIDE784,Why is the drone not here yet?
RIDE785,I want to schedule a ride for tomorrow.
RIDE786,Is it safe to fly in this weather?
RIDE787,Is it safe to fly in this weather?
RIDE788,Can I change my destination?
RIDE789,Can I get a refund for my last ride?
RIDE790,I want to schedule a ride for tomorrow.
RIDE791,Can I change my destination?
RIDE792,I need to cancel my ride.
RIDE793,I want to schedule a ride for tomorrow.
RIDE794,Can I get a refund for my last ride?
RIDE795,Can I get a refund for my last ride?
RIDE796,Is the ride on time? I'm in a hurry!
RIDE797,Is it safe to fly in this weather?
RIDE798,Can I change my destination?
RIDE799,Is the ride on time? I'm in a hurry!
RIDE800,I need to cancel my ride.
RIDE801,Is the ride on time? I'm in a hurry!
RIDE802,Is it safe to fly in this weather?
RIDE803,Is the ride on time? I'm in a hurry!
RIDE804,Why is the drone not here yet?
RIDE805,Is it safe to fly in this weather?
RIDE806,Can I get a refund for my last ride?
RIDE807,Is the ride on time? I'm in a hurry!
RIDE808,I need to cancel my ride.
RIDE809,Why is the drone not here yet?
RIDE810,Is the ride on time? I'm in a hurry!
RIDE811,I need to cancel my ride.
RIDE812,I need to cancel my ride.
RIDE813,I want to schedule a ride for tomorrow.
RIDE814,I need to cancel my ride.
RIDE815,Can I change my destination?
RIDE816,I want to schedule a ride for tomorrow.
RIDE817,I want to schedule a ride for tomorrow.
RIDE818,Can I change my destination?
RIDE819,I need to cancel my ride.
RIDE820,Is the ride on time? I'm in a hurry!
RIDE821,Is the ride on time? I'm in a hurry!
RIDE822,Can I get a refund for my last ride?
RIDE823,Can I change my destination?
RIDE824,Can I get a refund for my last ride?
RIDE825,Is the ride on time? I'm in a hurry!
RIDE826,I want to schedule a ride for tomorrow.
RIDE827,Is the ride on time? I'm in a hurry!
RIDE828,Can I change my destination?
RIDE829,Is it safe to fly in this weather?
RIDE830,Why is the drone not here yet?
RIDE831,I need to cancel my ride.
RIDE832,Is it safe to fly in this weather?
RIDE833,I want to schedule a ride for tomorrow.
RIDE834,I want to schedule a ride for tomorrow.
RIDE835,Can I get a refund for my last ride?
RIDE836,Is the ride on time? I'm in a hurry!
RIDE837,Is it safe to fly in this weather?
RIDE838,I need to cancel my ride.
RIDE839,Why is the drone not here yet?
RIDE840,Is it safe to fly in this weather?
RIDE841,I want to schedule a ride for tomorrow.
RIDE842,I need to cancel my ride.
RIDE843,Is it safe to fly in this weather?
RIDE844,I need to cancel my ride.
RIDE845,Is it safe to fly in this weather?
RIDE846,Is the ride on time? I'm in a hurry!
RIDE847,Is the ride on time? I'm in a hurry!
RIDE848,Can I change my destination?
RIDE849,I need to cancel my ride.
RIDE850,I want to schedule a ride for tomorrow.
RIDE851,Can I get a refund for my last ride?
RIDE852,Can I change my destination?
RIDE853,I need to cancel my ride.
RIDE854,I want to schedule a ride for tomorrow.
RIDE855,Why is the drone not here yet?
RIDE856,Why is the drone not here yet?
RIDE857,I want to schedule a ride for tomorrow.
RIDE858,Is it safe to fly in this weather?
RIDE859,Is it safe to fly in this weather?
RIDE860,Is it safe to fly in this weather?
RIDE861,I want to schedule a ride for tomorrow.
RIDE862,Can I get a refund for my last ride?
RIDE863,Can I get a refund for my last ride?
RIDE864,Is it safe to fly in this weather?
RIDE865,Can I change my destination?
RIDE866,I need to cancel my ride.
RIDE867,Is the ride on time? I'm in a hurry!
RIDE868,Why is the drone not here yet?
RIDE869,Is it safe to fly in this weather?
RIDE870,Why is the drone not here yet?
RIDE871,Can I change my destination?
RIDE872,Why is the drone not here yet?
RIDE873,Can I change my destination?
RIDE874,Can I change my destination?
RIDE875,Can I get a refund for my last ride?
RIDE876,Is it safe to fly in this weather?
RIDE877,Why is the drone not here yet?
RIDE878,I need to cancel my ride.
RIDE879,Is the ride on time? I'm in a hurry!
RIDE880,Why is the drone not here yet?
RIDE881,Why is the drone not here yet?
RIDE882,I need to cancel my ride.
RIDE883,Why is the drone not here yet?
RIDE884,I want to schedule a ride for tomorrow.
RIDE885,Can I change my destination?
RIDE886,Why is the drone not here yet?
RIDE887,Is it safe to fly in this weather?
RIDE888,Can I get a refund for my last ride?
RIDE889,Why is the drone not here yet?
RIDE890,Can I get a refund for my last ride?
RIDE891,Can I change my destination?
RIDE892,Can I get a refund for my last ride?
RIDE893,I need to cancel my ride.
RIDE894,I want to schedule a ride for tomorrow.
RIDE895,Can I get a refund for my last ride?
RIDE896,Is it safe to fly in this weather?
RIDE897,I need to cancel my ride.
RIDE898,I need to cancel my ride.
RIDE899,Can I get a refund for my last ride?
RIDE900,Is it safe to fly in this weather?
RIDE901,Why is the drone not here yet?
RIDE902,I want to schedule a ride for tomorrow.
RIDE903,Can I change my destination?
RIDE904,I need to cancel my ride.
RIDE905,Why is the drone not here yet?
RIDE906,I want to schedule a ride for tomorrow.
RIDE907,Is the ride on time? I'm in a hurry!
RIDE908,I need to cancel my ride.
RIDE909,Can I get a refund for my last ride?
RIDE910,I want to schedule a ride for tomorrow.
RIDE911,I need to cancel my ride.
RIDE912,I want to schedule a ride for tomorrow.
RIDE913,Is the ride on time? I'm in a hurry!
RIDE914,Why is the drone not here yet?
RIDE915,Is the ride on time? I'm in a hurry!
RIDE916,Is the ride on time? I'm in a hurry!
RIDE917,Why is the drone not here yet?
RIDE918,Can I change my destination?
RIDE919,Is the ride on time? I'm in a hurry!
RIDE920,Can I change my destination?
RIDE921,Is it safe to fly in this weather?
RIDE922,Is the ride on time? I'm in a hurry!
RIDE923,Is the ride on time? I'm in a hurry!
RIDE924,Why is the drone not here yet?
RIDE925,I need to cancel my ride.
RIDE926,Is it safe to fly in this weather?
RIDE927,Can I get a refund for my last ride?
RIDE928,I want to schedule a ride for tomorrow.
RIDE929,I want to schedule a ride for tomorrow.
RIDE930,Is the ride on time? I'm in a hurry!
RIDE931,Can I get a refund for my last ride?
RIDE932,Why is the drone not here yet?
RIDE933,Is it safe to fly in this weather?
RIDE934,Why is the drone not here yet?
RIDE935,Can I change my destination?
RIDE936,Can I get a refund for my last ride?
RIDE937,Can I get a refund for my last ride?
RIDE938,Is it safe to fly in this weather?
RIDE939,Why is the drone not here yet?
RIDE940,Why is the drone not here yet?
RIDE941,Is it safe to fly in this weather?
RIDE942,Why is the drone not here yet?
RIDE943,Is the ride on time? I'm in a hurry!
RIDE944,Can I get a refund for my last ride?
RIDE945,Is the ride on time? I'm in a hurry!
RIDE946,Is it safe to fly in this weather?
RIDE947,Can I change my destination?
RIDE948,I want to schedule a ride for tomorrow.
RIDE949,Why is the drone not here yet?
RIDE950,Is the ride on time? I'm in a hurry!
RIDE951,Why is the drone not here yet?
RIDE952,Can I get a refund for my last ride?
RIDE953,Why is the drone not here yet?
RIDE954,Is it safe to fly in this weather?
RIDE955,Why is the drone not here yet?
RIDE956,I need to cancel my ride.
RIDE957,Can I change my destination?
RIDE958,Why is the drone not here yet?
RIDE959,Why is the drone not here yet?
RIDE960,I want to schedule a ride for tomorrow.
RIDE961,Is it safe to fly in this weather?
RIDE962,Why is the drone not here yet?
RIDE963,Is it safe to fly in this weather?
RIDE964,Is the ride on time? I'm in a hurry!
RIDE965,Is it safe to fly in this weather?
RIDE966,Can I get a refund for my last ride?
RIDE967,Can I change my destination?
RIDE968,Why is the drone not here yet?
RIDE969,I want to schedule a ride for tomorrow.
RIDE970,Is it safe to fly in this weather?
RIDE971,Can I change my destination?
RIDE972,Can I change my destination?
RIDE973,Is the ride on time? I'm in a hurry!
RIDE974,I need to cancel my ride.
RIDE975,I want to schedule a ride for tomorrow.
RIDE976,Can I change my destination?
RIDE977,Is it safe to fly in this weather?
RIDE978,I need to cancel my ride.
RIDE979,Is the ride on time? I'm in a hurry!
RIDE980,Can I get a refund for my last ride?
RIDE981,Can I get a refund for my last ride?
RIDE982,Can I get a refund for my last ride?
RIDE983,Can I change my destination?
RIDE984,I need to cancel my ride.
RIDE985,Is the ride on time? I'm in a hurry!
RIDE986,I need to cancel my ride.
RIDE987,Why is the drone not here yet?
RIDE988,Can I change my destination?
RIDE989,I want to schedule a ride for tomorrow.
RIDE990,Is it safe to fly in this weather?
RIDE991,I want to schedule a ride for tomorrow.
RIDE992,I want to schedule a ride for tomorrow.
RIDE993,I want to schedule a ride for tomorrow.
RIDE994,Is the ride on time? I'm in a hurry!
RIDE995,I need to cancel my ride.
RIDE996,I need to cancel my ride.
RIDE997,Can I get a refund for my last ride?
RIDE998,I need to cancel my ride.
RIDE999,I need to cancel my ride.
RIDE1000,Can I change my destination?
